SOURCE ID : src-066
TITLE     : Domestic Box Office for 1990
URL       : https://www.boxofficemojo.com/year/1990/?grossesOption=totalGrosses
PUBLISHER : Box Office Mojo
RETRIEVED : 2026-03-26T14:05:07.945001+00:00
────────────────────────────────────────────────────────────

Domestic Box Office For 1990
2026
2025
2024
2023
2022
2021
2020
2019
2018
2017
2016
2015
2014
2013
2012
2011
2010
2009
2008
2007
2006
2005
2004
2003
2002
2001
2000
1999
1998
1997
1996
1995
1994
1993
1992
1991
1990
1989
1988
1987
1986
1985
1984
1983
1982
1981
1980
1979
1978
1977
1990
In-year releases
Calendar grosses
In-year releases
All releases
Wide releases
Limited releases
All releases
Rank	Release	Genre	Budget	Running Time	Gross	Max Th	Opening	% of Total	Open Th	Open	Close	Distributor	Estimated
1	Home Alone	-	-	-	$285,761,243	2,173	$17,081,997	6%	1,202	Nov 16	-	Twentieth Century Fox	false
2	Ghost	-	-	-	$217,631,306	1,766	$12,191,540	5.6%	1,101	Jul 13	-	Paramount Pictures	false
3	Dances with Wolves	-	-	-	$184,208,848	1,636	$598,257	0.3%	14	Nov 9	-	Orion Pictures	false
4	Pretty Woman	-	-	-	$178,406,268	1,811	$11,280,591	6.3%	1,325	Mar 23	-	Walt Disney Studios Motion Pictures	false
5	Teenage Mutant Ninja Turtles	-	-	-	$135,265,915	2,377	$25,398,367	18.8%	2,006	Mar 30	-	New Line Cinema	false
6	The Hunt for Red October	-	-	-	$122,012,643	1,817	$17,161,835	14.1%	1,225	Mar 2	-	Paramount Pictures	false
7	Total Recall	-	-	-	$119,394,840	2,131	$25,533,700	21.4%	2,060	Jun 1	-	Sony Pictures Releasing	false
8	Die Hard 2	-	-	-	$117,540,947	2,507	$21,744,661	18.5%	2,507	Jul 6	-	Twentieth Century Fox	false
9	Dick Tracy	-	-	-	$103,738,726	2,332	$22,543,911	21.7%	2,332	Jun 15	-	Walt Disney Studios Motion Pictures	false
10	Kindergarten Cop	-	-	-	$91,457,688	1,937	$7,918,560	8.7%	1,833	Dec 22	-	Universal Pictures	false
11	Back to the Future Part III	-	-	-	$87,727,583	2,070	$19,089,645	21.8%	2,019	May 25	-	Universal Pictures	false
