============================================================
  ANATOMY STUDY — FULL EXTRACTED DATA
  699 contour pts, 81 strokes, 80 Y-levels
============================================================

── CONTOUR (699 points) ──
  idx         dx         dy
─────  ─────────  ─────────
    0    +0.0219     0.0211
    1    +0.0429     0.0180
    2    +0.0685     0.0208
    3    +0.0981     0.0292
    4    +0.1304     0.0418
    5    +0.1646     0.0579
    6    +0.1995     0.0768
    7    +0.2346     0.0983
    8    +0.2671     0.1228
    9    +0.2973     0.1495
   10    +0.3249     0.1784
   11    +0.3496     0.2094
   12    +0.3709     0.2421
   13    +0.3882     0.2755
   14    +0.4017     0.3090
   15    +0.4116     0.3423
   16    +0.4182     0.3754
   17    +0.4221     0.4083
   18    +0.4238     0.4409
   19    +0.4234     0.4735
   20    +0.4216     0.5061
   21    +0.4187     0.5388
   22    +0.4148     0.5714
   23    +0.4098     0.6041
   24    +0.4037     0.6367
   25    +0.3964     0.6694
   26    +0.3883     0.7020
   27    +0.3792     0.7347
   28    +0.3690     0.7673
   29    +0.3578     0.8000
   30    +0.3458     0.8327
   31    +0.3334     0.8653
   32    +0.3215     0.8978
   33    +0.3110     0.9305
   34    +0.3027     0.9634
   35    +0.2972     0.9967
   36    +0.2947     1.0303
   37    +0.2957     1.0638
   38    +0.3010     1.0969
   39    +0.3114     1.1287
   40    +0.3269     1.1587
   41    +0.3468     1.1865
   42    +0.3705     1.2119
   43    +0.3972     1.2349
   44    +0.4263     1.2555
   45    +0.4575     1.2741
   46    +0.4902     1.2912
   47    +0.5239     1.3074
   48    +0.5579     1.3232
   49    +0.5916     1.3386
   50    +0.6247     1.3538
   51    +0.6573     1.3687
   52    +0.6898     1.3828
   53    +0.7224     1.3959
   54    +0.7548     1.4078
   55    +0.7872     1.4184
   56    +0.8206     1.4271
   57    +0.8554     1.4337
   58    +0.8911     1.4381
   59    +0.9261     1.4410
   60    +0.9587     1.4427
   61    +0.9871     1.4445
   62    +1.0098     1.4478
   63    +1.0270     1.4536
   64    +1.0401     1.4632
   65    +1.0502     1.4773
   66    +1.0585     1.4960
   67    +1.0659     1.5196
   68    +1.0733     1.5475
   69    +1.0825     1.5787
   70    +1.0945     1.6119
   71    +1.1093     1.6460
   72    +1.1257     1.6802
   73    +1.1418     1.7140
   74    +1.1556     1.7469
   75    +1.1658     1.7796
   76    +1.1717     1.8121
   77    +1.1743     1.8453
   78    +1.1749     1.8792
   79    +1.1758     1.9136
   80    +1.1788     1.9475
   81    +1.1848     1.9799
   82    +1.1943     2.0094
   83    +1.2066     2.0354
   84    +1.2203     2.0578
   85    +1.2336     2.0776
   86    +1.2455     2.0955
   87    +1.2558     2.1129
   88    +1.2641     2.1305
   89    +1.2700     2.1496
   90    +1.2731     2.1712
   91    +1.2738     2.1963
   92    +1.2733     2.2250
   93    +1.2736     2.2566
   94    +1.2757     2.2902
   95    +1.2794     2.3245
   96    +1.2842     2.3585
   97    +1.2893     2.3918
   98    +1.2936     2.4244
   99    +1.2969     2.4573
  100    +1.3001     2.4905
  101    +1.3051     2.5241
  102    +1.3131     2.5575
  103    +1.3242     2.5901
  104    +1.3385     2.6214
  105    +1.3551     2.6509
  106    +1.3730     2.6787
  107    +1.3906     2.7051
  108    +1.4071     2.7307
  109    +1.4219     2.7562
  110    +1.4348     2.7818
  111    +1.4455     2.8080
  112    +1.4538     2.8355
  113    +1.4600     2.8646
  114    +1.4651     2.8957
  115    +1.4704     2.9281
  116    +1.4765     2.9615
  117    +1.4833     2.9951
  118    +1.4906     3.0284
  119    +1.4978     3.0614
  120    +1.5044     3.0940
  121    +1.5097     3.1266
  122    +1.5143     3.1592
  123    +1.5185     3.1918
  124    +1.5223     3.2245
  125    +1.5256     3.2571
