============================================================
  HERO FIGURE — FULL EXTRACTED DATA
  640 contour pts, 118 strokes, 80 Y-levels
============================================================

── CONTOUR ──
  idx         dx         dy
─────  ─────────  ─────────
    0    +0.0716     0.0404
    1    +0.0913     0.0463
    2    +0.1125     0.0560
    3    +0.1353     0.0683
    4    +0.1595     0.0820
    5    +0.1848     0.0963
    6    +0.2117     0.1110
    7    +0.2404     0.1253
    8    +0.2698     0.1393
    9    +0.2996     0.1528
   10    +0.3294     0.1673
   11    +0.3594     0.1847
   12    +0.3896     0.2057
   13    +0.4200     0.2296
   14    +0.4508     0.2549
   15    +0.4819     0.2805
   16    +0.5124     0.3060
   17    +0.5416     0.3316
   18    +0.5687     0.3580
   19    +0.5926     0.3864
   20    +0.6123     0.4171
   21    +0.6281     0.4494
   22    +0.6405     0.4826
   23    +0.6499     0.5162
   24    +0.6573     0.5495
   25    +0.6634     0.5819
   26    +0.6687     0.6131
   27    +0.6731     0.6436
   28    +0.6764     0.6735
   29    +0.6796     0.7030
   30    +0.6832     0.7326
   31    +0.6866     0.7624
   32    +0.6891     0.7927
   33    +0.6890     0.8239
   34    +0.6854     0.8561
   35    +0.6789     0.8893
   36    +0.6698     0.9231
   37    +0.6585     0.9573
   38    +0.6454     0.9914
   39    +0.6304     1.0255
   40    +0.6132     1.0593
   41    +0.5936     1.0927
   42    +0.5717     1.1247
   43    +0.5480     1.1548
   44    +0.5222     1.1824
   45    +0.4941     1.2075
   46    +0.4646     1.2307
   47    +0.4355     1.2526
   48    +0.4094     1.2743
   49    +0.3891     1.2963
   50    +0.3763     1.3186
   51    +0.3723     1.3409
   52    +0.3776     1.3632
   53    +0.3917     1.3852
   54    +0.4139     1.4065
   55    +0.4429     1.4265
   56    +0.4765     1.4447
   57    +0.5122     1.4611
   58    +0.5479     1.4757
   59    +0.5823     1.4891
   60    +0.6152     1.5025
   61    +0.6469     1.5166
   62    +0.6781     1.5321
   63    +0.7095     1.5484
   64    +0.7413     1.5646
   65    +0.7732     1.5797
   66    +0.8051     1.5932
   67    +0.8372     1.6042
   68    +0.8705     1.6128
   69    +0.9054     1.6184
   70    +0.9415     1.6213
   71    +0.9773     1.6219
   72    +1.0109     1.6213
   73    +1.0403     1.6210
   74    +1.0638     1.6229
   75    +1.0814     1.6284
   76    +1.0942     1.6387
   77    +1.1036     1.6540
   78    +1.1107     1.6743
   79    +1.1165     1.6992
   80    +1.1222     1.7281
   81    +1.1297     1.7600
   82    +1.1404     1.7939
   83    +1.1542     1.8287
   84    +1.1701     1.8634
   85    +1.1862     1.8976
   86    +1.2007     1.9314
   87    +1.2118     1.9647
   88    +1.2189     1.9980
   89    +1.2230     2.0312
   90    +1.2252     2.0645
   91    +1.2266     2.0978
   92    +1.2280     2.1311
   93    +1.2304     2.1644
   94    +1.2345     2.1977
   95    +1.2407     2.2310
   96    +1.2491     2.2643
   97    +1.2592     2.2976
   98    +1.2705     2.3309
   99    +1.2821     2.3642
  100    +1.2930     2.3975
  101    +1.3022     2.4308
  102    +1.3096     2.4641
  103    +1.3150     2.4974
  104    +1.3191     2.5307
  105    +1.3222     2.5639
  106    +1.3251     2.5971
  107    +1.3280     2.6305
