============================================================
  MOTO RIDER — FULL CONTOUR
  734 points  (dx = distance from midline, dy = head-units from crown)
============================================================

  idx         dx         dy
─────  ─────────  ─────────
    0    +0.0364     0.0007
    1    +0.0562     0.0010
    2    +0.0784     0.0046
    3    +0.1022     0.0104
    4    +0.1268     0.0177
    5    +0.1520     0.0260
    6    +0.1775     0.0351
    7    +0.2038     0.0453
    8    +0.2289     0.0569
    9    +0.2538     0.0702
   10    +0.2789     0.0856
   11    +0.3038     0.1031
   12    +0.3282     0.1224
   13    +0.3518     0.1435
   14    +0.3742     0.1660
   15    +0.3950     0.1897
   16    +0.4139     0.2142
   17    +0.4307     0.2392
   18    +0.4456     0.2644
   19    +0.4586     0.2895
   20    +0.4700     0.3145
   21    +0.4804     0.3393
   22    +0.4898     0.3640
   23    +0.4983     0.3886
   24    +0.5059     0.4133
   25    +0.5124     0.4379
   26    +0.5180     0.4626
   27    +0.5223     0.4873
   28    +0.5254     0.5120
   29    +0.5272     0.5366
   30    +0.5276     0.5613
   31    +0.5268     0.5860
   32    +0.5251     0.6106
   33    +0.5228     0.6353
   34    +0.5200     0.6600
   35    +0.5170     0.6847
   36    +0.5138     0.7093
   37    +0.5101     0.7340
   38    +0.5062     0.7587
   39    +0.5020     0.7833
   40    +0.4974     0.8080
   41    +0.4922     0.8327
   42    +0.4867     0.8574
   43    +0.4809     0.8820
   44    +0.4748     0.9067
   45    +0.4686     0.9314
   46    +0.4621     0.9561
   47    +0.4547     0.9807
   48    +0.4456     1.0054
   49    +0.4342     1.0301
   50    +0.4203     1.0547
   51    +0.4043     1.0793
   52    +0.3869     1.1042
   53    +0.3697     1.1293
   54    +0.3539     1.1547
   55    +0.3411     1.1802
   56    +0.3328     1.2052
   57    +0.3300     1.2294
   58    +0.3336     1.2520
   59    +0.3438     1.2730
   60    +0.3597     1.2919
   61    +0.3800     1.3087
   62    +0.4034     1.3235
   63    +0.4283     1.3363
   64    +0.4539     1.3475
   65    +0.4795     1.3574
   66    +0.5049     1.3668
   67    +0.5301     1.3758
   68    +0.5551     1.3849
   69    +0.5799     1.3940
   70    +0.6045     1.4033
   71    +0.6291     1.4125
   72    +0.6538     1.4216
   73    +0.6785     1.4307
   74    +0.7031     1.4397
   75    +0.7278     1.4485
   76    +0.7527     1.4571
   77    +0.7777     1.4658
   78    +0.8029     1.4748
   79    +0.8280     1.4847
   80    +0.8528     1.4961
   81    +0.8770     1.5094
   82    +0.9001     1.5248
   83    +0.9219     1.5424
   84    +0.9420     1.5623
   85    +0.9603     1.5841
   86    +0.9766     1.6076
   87    +0.9910     1.6322
   88    +1.0038     1.6575
