============================================================
  TACTICAL OPERATOR — FULL CONTOUR
  788 points  (dx = distance from midline, dy = head-units from crown)
============================================================

  idx         dx         dy
─────  ─────────  ─────────
    0    +0.0102     0.0213
    1    +0.0260     0.0127
    2    +0.0455     0.0087
    3    +0.0683     0.0091
    4    +0.0935     0.0132
    5    +0.1201     0.0208
    6    +0.1472     0.0313
    7    +0.1740     0.0445
    8    +0.1998     0.0599
    9    +0.2241     0.0775
   10    +0.2466     0.0972
   11    +0.2671     0.1187
   12    +0.2854     0.1419
   13    +0.3015     0.1666
   14    +0.3155     0.1920
   15    +0.3277     0.2179
   16    +0.3385     0.2440
   17    +0.3482     0.2699
   18    +0.3573     0.2956
   19    +0.3658     0.3211
   20    +0.3740     0.3465
   21    +0.3818     0.3717
   22    +0.3890     0.3970
   23    +0.3957     0.4224
   24    +0.4017     0.4477
   25    +0.4067     0.4731
   26    +0.4107     0.4984
   27    +0.4135     0.5237
   28    +0.4152     0.5491
   29    +0.4157     0.5745
   30    +0.4147     0.6000
   31    +0.4117     0.6255
   32    +0.4068     0.6509
   33    +0.3999     0.6762
   34    +0.3913     0.7013
   35    +0.3809     0.7262
   36    +0.3690     0.7508
   37    +0.3559     0.7754
   38    +0.3425     0.7998
   39    +0.3296     0.8242
   40    +0.3184     0.8484
   41    +0.3099     0.8725
   42    +0.3051     0.8963
   43    +0.3045     0.9200
   44    +0.3077     0.9434
   45    +0.3145     0.9667
   46    +0.3240     0.9901
   47    +0.3356     1.0138
   48    +0.3481     1.0379
   49    +0.3607     1.0622
   50    +0.3729     1.0862
   51    +0.3847     1.1094
   52    +0.3968     1.1311
   53    +0.4099     1.1506
   54    +0.4246     1.1674
   55    +0.4414     1.1811
   56    +0.4608     1.1917
   57    +0.4828     1.1997
   58    +0.5072     1.2060
   59    +0.5333     1.2116
   60    +0.5601     1.2180
   61    +0.5867     1.2263
   62    +0.6126     1.2370
   63    +0.6376     1.2504
   64    +0.6616     1.2664
   65    +0.6849     1.2843
   66    +0.7079     1.3033
   67    +0.7307     1.3225
   68    +0.7535     1.3408
   69    +0.7766     1.3577
   70    +0.8002     1.3728
   71    +0.8245     1.3865
   72    +0.8493     1.3990
   73    +0.8747     1.4112
   74    +0.9004     1.4236
   75    +0.9260     1.4373
   76    +0.9513     1.4526
   77    +0.9757     1.4703
   78    +0.9988     1.4902
   79    +1.0203     1.5123
   80    +1.0402     1.5360
   81    +1.0582     1.5608
   82    +1.0746     1.5863
   83    +1.0895     1.6121
   84    +1.1029     1.6380
   85    +1.1150     1.6639
   86    +1.1260     1.6895
   87    +1.1362     1.7150
   88    +1.1454     1.7403
   89    +1.1538     1.7656
   90    +1.1612     1.7909
   91    +1.1677     1.8163
   92    +1.1732     1.8416
   93    +1.1776     1.8669
   94    +1.1811     1.8923
   95    +1.1837     1.9176
   96    +1.1858     1.9430
   97    +1.1878     1.9683
   98    +1.1900     1.9937
   99    +1.1927     2.0190
  100    +1.1963     2.0444
  101    +1.2011     2.0697
  102    +1.2071     2.0950
  103    +1.2142     2.1204
  104    +1.2220     2.1457
  105    +1.2303     2.1711
  106    +1.2387     2.1964
  107    +1.2465     2.2218
  108    +1.2534     2.2471
  109    +1.2592     2.2724
  110    +1.2641     2.2978
  111    +1.2687     2.3231
  112    +1.2737     2.3485
  113    +1.2797     2.3738
  114    +1.2870     2.3992
  115    +1.2957     2.4245
  116    +1.3054     2.4498
  117    +1.3158     2.4752
  118    +1.3263     2.5005
  119    +1.3370     2.5258
  120    +1.3478     2.5512
  121    +1.3582     2.5765
  122    +1.3682     2.6020
  123    +1.3782     2.6275
  124    +1.3885     2.6530
  125    +1.3993     2.6784
  126    +1.4107     2.7037
  127    +1.4226     2.7287
  128    +1.4346     2.7535
  129    +1.4464     2.7780
  130    +1.4576     2.8023
  131    +1.4678     2.8264
  132    +1.4768     2.8505
  133    +1.4846     2.8746
  134    +1.4913     2.8988
  135    +1.4967     2.9234
  136    +1.5007     2.9482
  137    +1.5033     2.9732
  138    +1.5044     2.9985
  139    +1.5037     3.0239
  140    +1.5013     3.0494
  141    +1.4976     3.0749
  142    +1.4932     3.1003
  143    +1.4889     3.1257
  144    +1.4852     3.1510
  145    +1.4823     3.1763
  146    +1.4804     3.2017
  147    +1.4797     3.2270
  148    +1.4802     3.2524
  149    +1.4814     3.2777
  150    +1.4833     3.3031
  151    +1.4856     3.3284
  152    +1.4876     3.3537
  153    +1.4889     3.3791
  154    +1.4895     3.4046
  155    +1.4897     3.4301
  156    +1.4901     3.4555
  157    +1.4913     3.4809
  158    +1.4936     3.5060
  159    +1.4973     3.5309
  160    +1.5025     3.5555
  161    +1.5093     3.5799
  162    +1.5172     3.6040
  163    +1.5253     3.6281
  164    +1.5331     3.6522
  165    +1.5398     3.6764
  166    +1.5448     3.7008
  167    +1.5478     3.7255
  168    +1.5490     3.7505
  169    +1.5490     3.7757
  170    +1.5483     3.8011
  171    +1.5476     3.8265
  172    +1.5474     3.8520
  173    +1.5482     3.8775
  174    +1.5501     3.9029
  175    +1.5528     3.9282
  176    +1.5561     3.9535
  177    +1.5593     3.9789
  178    +1.5624     4.0042
  179    +1.5653     4.0296
  180    +1.5677     4.0549
  181    +1.5697     4.0803
  182    +1.5710     4.1056
  183    +1.5717     4.1309
  184    +1.5717     4.1562
  185    +1.5709     4.1816
  186    +1.5692     4.2069
  187    +1.5664     4.2324
  188    +1.5621     4.2579
  189    +1.5560     4.2835
  190    +1.5480     4.3094
  191    +1.5378     4.3351
  192    +1.5252     4.3606
  193    +1.5100     4.3855
  194    +1.4924     4.4097
  195    +1.4724     4.4333
  196    +1.4500     4.4561
  197    +1.4255     4.4778
  198    +1.3993     4.4977
  199    +1.3722     4.5152
  200    +1.3449     4.5297
  201    +1.3184     4.5403
  202    +1.2938     4.5459
  203    +1.2723     4.5458
  204    +1.2547     4.5396
  205    +1.2412     4.5274
  206    +1.2316     4.5100
  207    +1.2249     4.4885
  208    +1.2200     4.4647
  209    +1.2153     4.4401
  210    +1.2092     4.4162
  211    +1.2008     4.3939
  212    +1.1897     4.3735
  213    +1.1760     4.3552
  214    +1.1609     4.3382
  215    +1.1460     4.3216
  216    +1.1331     4.3040
  217    +1.1236     4.2847
  218    +1.1180     4.2630
  219    +1.1160     4.2390
  220    +1.1165     4.2131
  221    +1.1180     4.1865
  222    +1.1186     4.1606
  223    +1.1166     4.1374
  224    +1.1106     4.1183
  225    +1.0999     4.1044
  226    +1.0844     4.0965
  227    +1.0643     4.0946
  228    +1.0406     4.0980
  229    +1.0145     4.1061
  230    +0.9875     4.1176
  231    +0.9610     4.1316
  232    +0.9366     4.1472
  233    +0.9156     4.1637
  234    +0.8992     4.1810
  235    +0.8881     4.1991
  236    +0.8824     4.2181
  237    +0.8818     4.2384
  238    +0.8859     4.2601
  239    +0.8936     4.2831
  240    +0.9037     4.3074
  241    +0.9144     4.3326
  242    +0.9246     4.3582
  243    +0.9331     4.3839
  244    +0.9394     4.4094
  245    +0.9432     4.4348
  246    +0.9447     4.4602
  247    +0.9445     4.4856
  248    +0.9434     4.5111
  249    +0.9420     4.5365
  250    +0.9407     4.5618
  251    +0.9400     4.5871
  252    +0.9399     4.6125
  253    +0.9406     4.6378
  254    +0.9420     4.6631
  255    +0.9441     4.6885
  256    +0.9466     4.7138
  257    +0.9492     4.7392
  258    +0.9515     4.7645
  259    +0.9529     4.7899
  260    +0.9532     4.8152
  261    +0.9521     4.8405
  262    +0.9497     4.8659
  263    +0.9458     4.8912
  264    +0.9405     4.9166
  265    +0.9346     4.9419
  266    +0.9286     4.9673
  267    +0.9236     4.9926
  268    +0.9203     5.0180
  269    +0.9190     5.0433
  270    +0.9195     5.0686
  271    +0.9216     5.0940
  272    +0.9247     5.1193
  273    +0.9279     5.1447
  274    +0.9304     5.1700
  275    +0.9318     5.1954
  276    +0.9320     5.2207
  277    +0.9309     5.2460
  278    +0.9289     5.2714
  279    +0.9266     5.2967
  280    +0.9242     5.3221
  281    +0.9222     5.3474
  282    +0.9207     5.3728
  283    +0.9197     5.3981
  284    +0.9192     5.4234
  285    +0.9194     5.4488
  286    +0.9204     5.4741
  287    +0.9221     5.4995
  288    +0.9245     5.5248
  289    +0.9276     5.5502
  290    +0.9313     5.5755
  291    +0.9350     5.6008
  292    +0.9387     5.6262
  293    +0.9418     5.6515
  294    +0.9441     5.6769
  295    +0.9457     5.7022
  296    +0.9468     5.7276
  297    +0.9479     5.7529
  298    +0.9494     5.7782
  299    +0.9519     5.8036
  300    +0.9556     5.8289
  301    +0.9607     5.8543
  302    +0.9669     5.8796
  303    +0.9744     5.9050
  304    +0.9828     5.9303
  305    +0.9918     5.9556
  306    +1.0009     5.9810
  307    +1.0099     6.0063
  308    +1.0183     6.0317
  309    +1.0259     6.0570
  310    +1.0321     6.0824
  311    +1.0365     6.1077
  312    +1.0387     6.1331
  313    +1.0387     6.1584
  314    +1.0362     6.1837
  315    +1.0317     6.2091
  316    +1.0255     6.2344
  317    +1.0186     6.2598
  318    +1.0120     6.2851
  319    +1.0066     6.3105
  320    +1.0033     6.3358
  321    +1.0024     6.3611
  322    +1.0036     6.3865
  323    +1.0063     6.4118
  324    +1.0096     6.4372
  325    +1.0124     6.4625
  326    +1.0138     6.4879
  327    +1.0131     6.5132
  328    +1.0101     6.5385
  329    +1.0052     6.5639
  330    +0.9988     6.5892
  331    +0.9918     6.6146
  332    +0.9849     6.6399
  333    +0.9790     6.6653
  334    +0.9744     6.6906
  335    +0.9709     6.7159
  336    +0.9685     6.7413
  337    +0.9667     6.7666
  338    +0.9649     6.7920
  339    +0.9632     6.8173
  340    +0.9611     6.8427
  341    +0.9587     6.8680
  342    +0.9563     6.8933
  343    +0.9543     6.9187
  344    +0.9527     6.9440
  345    +0.9514     6.9694
  346    +0.9504     6.9947
  347    +0.9498     7.0201
  348    +0.9492     7.0454
  349    +0.9489     7.0707
  350    +0.9488     7.0961
  351    +0.9490     7.1214
  352    +0.9498     7.1468
  353    +0.9514     7.1721
  354    +0.9541     7.1975
  355    +0.9581     7.2228
  356    +0.9636     7.2482
  357    +0.9708     7.2735
  358    +0.9795     7.2987
  359    +0.9896     7.3241
  360    +1.0007     7.3496
  361    +1.0129     7.3753
  362    +1.0258     7.4011
  363    +1.0395     7.4269
  364    +1.0542     7.4524
  365    +1.0702     7.4774
  366    +1.0879     7.5016
  367    +1.1074     7.5248
  368    +1.1283     7.5470
  369    +1.1502     7.5683
  370    +1.1726     7.5889
  371    +1.1948     7.6094
  372    +1.2160     7.6300
  373    +1.2353     7.6511
  374    +1.2524     7.6730
  375    +1.2670     7.6961
  376    +1.2795     7.7202
  377    +1.2902     7.7455
  378    +1.2992     7.7716
  379    +1.3064     7.7983
  380    +1.3118     7.8250
  381    +1.3149     7.8511
  382    +1.3151     7.8760
  383    +1.3116     7.8991
  384    +1.3041     7.9199
  385    +1.2922     7.9383
  386    +1.2761     7.9539
  387    +1.2562     7.9665
  388    +1.2332     7.9760
  389    +1.2083     7.9829
  390    +1.1822     7.9876
  391    +1.1557     7.9909
  392    +1.1292     7.9931
  393    +1.1028     7.9946
  394    +1.0769     7.9955
  395    +1.0515     7.9963
  396    +1.0262     7.9968
  397    +1.0011     7.9968
  398    +0.9758     7.9963
  399    +0.9505     7.9952
  400    +0.9250     7.9933
  401    +0.8992     7.9904
  402    +0.8734     7.9862
  403    +0.8477     7.9803
  404    +0.8224     7.9722
  405    +0.7975     7.9620
  406    +0.7734     7.9496
  407    +0.7501     7.9351
  408    +0.7277     7.9193
  409    +0.7058     7.9030
  410    +0.6838     7.8868
  411    +0.6614     7.8711
  412    +0.6384     7.8564
  413    +0.6148     7.8426
  414    +0.5908     7.8296
  415    +0.5669     7.8167
  416    +0.5440     7.8033
  417    +0.5232     7.7883
  418    +0.5054     7.7713
  419    +0.4915     7.7520
  420    +0.4819     7.7304
  421    +0.4765     7.7068
  422    +0.4751     7.6817
  423    +0.4765     7.6559
  424    +0.4799     7.6298
  425    +0.4845     7.6037
  426    +0.4894     7.5778
  427    +0.4942     7.5522
  428    +0.4989     7.5268
  429    +0.5032     7.5015
  430    +0.5073     7.4762
  431    +0.5110     7.4509
  432    +0.5144     7.4256
  433    +0.5173     7.4002
  434    +0.5196     7.3749
  435    +0.5212     7.3495
  436    +0.5223     7.3242
  437    +0.5230     7.2988
  438    +0.5234     7.2735
  439    +0.5237     7.2482
  440    +0.5237     7.2228
  441    +0.5237     7.1975
  442    +0.5238     7.1721
  443    +0.5236     7.1468
  444    +0.5228     7.1214
  445    +0.5213     7.0961
  446    +0.5191     7.0707
  447    +0.5158     7.0454
  448    +0.5118     7.0201
  449    +0.5069     6.9947
  450    +0.5014     6.9694
  451    +0.4954     6.9440
  452    +0.4889     6.9187
  453    +0.4824     6.8934
  454    +0.4759     6.8680
  455    +0.4697     6.8425
  456    +0.4638     6.8170
  457    +0.4579     6.7915
  458    +0.4517     6.7662
  459    +0.4451     6.7411
  460    +0.4376     6.7162
  461    +0.4290     6.6916
  462    +0.4192     6.6672
  463    +0.4087     6.6431
  464    +0.3983     6.6190
  465    +0.3886     6.5949
  466    +0.3804     6.5707
  467    +0.3744     6.5463
  468    +0.3706     6.5216
  469    +0.3688     6.4966
  470    +0.3681     6.4714
  471    +0.3675     6.4460
  472    +0.3659     6.4206
  473    +0.3623     6.3951
  474    +0.3562     6.3696
  475    +0.3473     6.3442
  476    +0.3362     6.3189
  477    +0.3240     6.2936
  478    +0.3116     6.2682
  479    +0.3003     6.2429
  480    +0.2907     6.2175
  481    +0.2834     6.1922
  482    +0.2785     6.1668
  483    +0.2761     6.1415
  484    +0.2761     6.1162
  485    +0.2780     6.0908
  486    +0.2814     6.0655
  487    +0.2856     6.0401
  488    +0.2901     6.0148
  489    +0.2946     5.9894
  490    +0.2986     5.9641
  491    +0.3018     5.9388
  492    +0.3040     5.9134
  493    +0.3049     5.8881
  494    +0.3047     5.8627
  495    +0.3035     5.8374
  496    +0.3014     5.8120
  497    +0.2987     5.7867
  498    +0.2958     5.7614
  499    +0.2931     5.7360
  500    +0.2907     5.7107
  501    +0.2885     5.6853
  502    +0.2863     5.6600
  503    +0.2840     5.6346
  504    +0.2814     5.6093
  505    +0.2783     5.5839
  506    +0.2748     5.5586
  507    +0.2705     5.5333
  508    +0.2655     5.5079
  509    +0.2595     5.4826
  510    +0.2526     5.4572
  511    +0.2448     5.4319
  512    +0.2363     5.4065
  513    +0.2275     5.3812
  514    +0.2187     5.3559
  515    +0.2104     5.3305
  516    +0.2030     5.3052
  517    +0.1971     5.2798
  518    +0.1928     5.2545
  519    +0.1901     5.2291
